E6A55_00005,dnaA,Essential
E6A55_00010,E6A55_00010,Dispensable
E6A55_00015,gyrB,Dispensable
E6A55_00020,E6A55_00020,Dispensable
E6A55_00025,E6A55_00025,Dispensable
E6A55_00030,E6A55_00030,Dispensable
E6A55_00035,E6A55_00035,Dispensable
E6A55_00040,E6A55_00040,Dispensable
E6A55_00045,E6A55_00045,Dispensable
E6A55_00050,E6A55_00050,Dispensable
E6A55_00055,E6A55_00055,Dispensable
E6A55_00060,E6A55_00060,Dispensable
E6A55_00065,E6A55_00065,Dispensable
E6A55_00070,E6A55_00070,Dispensable
E6A55_00075,E6A55_00075,Dispensable
E6A55_00080,E6A55_00080,Dispensable
E6A55_00085,E6A55_00085,Dispensable
E6A55_00090,E6A55_00090,Dispensable
E6A55_00095,E6A55_00095,Dispensable
E6A55_00100,E6A55_00100,Dispensable
E6A55_00105,E6A55_00105,Dispensable
E6A55_00110,E6A55_00110,Dispensable
E6A55_00115,E6A55_00115,Dispensable
E6A55_00120,E6A55_00120,Dispensable
E6A55_00125,E6A55_00125,Dispensable
E6A55_00130,E6A55_00130,Dispensable
E6A55_00135,E6A55_00135,Dispensable
E6A55_00140,E6A55_00140,Dispensable
E6A55_00145,E6A55_00145,Dispensable
E6A55_00150,E6A55_00150,Dispensable
E6A55_00155,E6A55_00155,Dispensable
E6A55_00160,E6A55_00160,Dispensable
E6A55_00165,E6A55_00165,Dispensable
E6A55_00170,E6A55_00170,Dispensable
E6A55_00175,E6A55_00175,Dispensable
E6A55_00180,E6A55_00180,Dispensable
E6A55_00185,E6A55_00185,Dispensable
E6A55_00190,E6A55_00190,Dispensable
E6A55_00195,E6A55_00195,Dispensable
E6A55_00200,E6A55_00200,Dispensable
E6A55_00205,E6A55_00205,Dispensable
E6A55_00210,E6A55_00210,Dispensable
E6A55_00215,E6A55_00215,Dispensable
E6A55_00220,E6A55_00220,Dispensable
E6A55_00225,E6A55_00225,Dispensable
E6A55_00230,E6A55_00230,Dispensable
E6A55_00235,E6A55_00235,Dispensable
E6A55_00240,E6A55_00240,Dispensable
E6A55_00245,E6A55_00245,Dispensable
E6A55_00250,E6A55_00250,Dispensable
E6A55_00255,E6A55_00255,Dispensable
E6A55_00260,E6A55_00260,Dispensable
